ch_name,co2e_value,co2e_unit,amount,declared_unit,lifecycle_boundary,checked_date_range
"氯化鈣(氫氯化製程)",4.15E-1,kgCO₂e,1,公斤(kg),搖籃到大門,～
"亞硫酸鈉",1.83E+0,kgCO₂e,1,公斤(kg),搖籃到大門,～
"車用汽油(於固定源使用，2016)",2.93E+0,kgCO₂e,1,公升(L),搖籃到大門,2016/01/01～2016/12/31
"化學熱磨機械紙漿",1.59E+0,kgCO₂e,1,公斤(kg),搖籃到大門,～
"硝基苯",3.28E+0,kgCO₂e,1,公斤(kg),搖籃到大門,～
"環氧乙烷",2.89E+0,kgCO₂e,1,公斤(kg),搖籃到大門,～
"車用汽油(於移動源使用，2016)",3.01E+0,kgCO₂e,1,公升(L),搖籃到大門,2016/01/01～2016/12/31
"煤油使用(2016)",2.98E+0,kgCO₂e,1,公升(L),搖籃到大門,2016/01/01～2016/12/31
"天然氣(於固定源使用，2016)",2.60E+0,kgCO₂e,1,立方公尺(m3),搖籃到大門,2016/01/01～2016/12/31
"液化石油氣(於固定源使用，2016)",2.24E+0,kgCO₂e,1,公升(L),搖籃到大門,2016/01/01～2016/12/31
"氧化鐵粉",1.28E+0,kgCO₂e,1,公斤(kg),搖籃到大門,2016/01/01～2016/12/31
"碳酸鉀",1.44E+0,kgCO₂e,1,公斤(kg),搖籃到大門,2016/01/01～2016/12/31
"四氫呋喃(1,3-丁二烯製程)",2.47E+0,kgCO₂e,1,公斤(kg),搖籃到大門,2016/01/01～2016/12/31
"四氫呋喃(丁二醇製程)",3.42E+0,kgCO₂e,1,公斤(kg),搖籃到大門,2016/01/01～2016/12/31
"生牛皮(含養牛階段)",4.86E+0,kgCO₂e,1,公斤(kg),搖籃到大門,～
